data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 145   0.962        ['internet_access:fee', 'wheelchair']=>['opening_hours', 'smoking']
 146   0.962        ['cuisine', 'internet_access', 'internet_access:fee', 'wheelchair']=>['opening_hours']
 147   0.962        ['cuisine', 'internet_access:fee', 'wheelchair']=>['opening_hours', 'internet_access']
 148   0.962        ['internet_access', 'internet_access:fee', 'wheelchair']=>['cuisine', 'opening_hours']
 149   0.962        ['cuisine', 'internet_access', 'wheelchair']=>['opening_hours', 'internet_access:fee']
 150   0.962        ['internet_access', 'wheelchair']=>['cuisine', 'opening_hours', 'internet_access:fee']
 151   0.962        ['internet_access:fee', 'wheelchair']=>['cuisine', 'opening_hours', 'internet_access']
 152   0.962        ['internet_access', 'wheelchair', 'internet_access:fee', 'smoking']=>['opening_hours']
 153   0.962        ['wheelchair', 'internet_access:fee', 'smoking']=>['opening_hours', 'internet_access']
 154   0.962        ['internet_access', 'internet_access:fee', 'wheelchair']=>['opening_hours', 'smoking']
 155   0.962        ['internet_access', 'wheelchair', 'smoking']=>['opening_hours', 'internet_access:fee']
 156   0.962        ['internet_access:fee', 'wheelchair']=>['smoking', 'opening_hours', 'internet_access']
 157   0.962        ['internet_access', 'wheelchair']=>['opening_hours', 'internet_access:fee', 'smoking']
 158   0.962        ['cuisine', 'wheelchair', 'internet_access:fee', 'smoking']=>['opening_hours']
 159   0.962        ['wheelchair', 'internet_access:fee', 'smoking']=>['cuisine', 'opening_hours']
 160   0.962        ['cuisine', 'internet_access:fee', 'wheelchair']=>['opening_hours', 'smoking']
 161   0.962        ['internet_access:fee', 'wheelchair']=>['cuisine', 'opening_hours', 'smoking']
 162   0.962        ['cuisine', 'internet_access', 'wheelchair', 'smoking']=>['opening_hours']
 163   0.962        ['internet_access', 'wheelchair', 'smoking']=>['cuisine', 'opening_hours']
 164   0.962        ['cuisine', 'internet_access', 'wheelchair']=>['opening_hours', 'smoking']
 165   0.962        ['internet_access', 'wheelchair']=>['cuisine', 'opening_hours', 'smoking']
 166   0.962        ['internet_access:fee', 'wheelchair', 'cuisine', 'internet_access', 'smoking']=>['opening_hours']
 167   0.962        ['cuisine', 'wheelchair', 'internet_access:fee', 'smoking']=>['opening_hours', 'internet_access']
 168   0.962        ['internet_access', 'wheelchair', 'internet_access:fee', 'smoking']=>['cuisine', 'opening_hours']
 169   0.962        ['cuisine', 'internet_access', 'internet_access:fee', 'wheelchair']=>['opening_hours', 'smoking']
