data_length : 28          min_support_num : 1 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 174   1.000        ['Q954362', 'cuàndǐxia cūn']=>['爨底下', 'en:Cuandixia']
 175   1.000        ['en:Cuandixia']=>['爨底下', 'Q954362', 'cuàndǐxia cūn']
 176   1.000        ['爨底下']=>['Q954362', 'en:Cuandixia', 'cuàndǐxia cūn']
 177   1.000        ['Q954362']=>['爨底下', 'en:Cuandixia', 'cuàndǐxia cūn']
 178   1.000        ['cuàndǐxia cūn']=>['爨底下', 'Q954362', 'en:Cuandixia']
 179   1.000        ['爨底下', 'Q954362', 'en:Cuandixia']=>['attraction']
 180   1.000        ['attraction', '爨底下', 'en:Cuandixia']=>['Q954362']
 181   1.000        ['attraction', 'Q954362', 'en:Cuandixia']=>['爨底下']
 182   1.000        ['attraction', '爨底下', 'Q954362']=>['en:Cuandixia']
 183   1.000        ['attraction', '爨底下']=>['Q954362', 'en:Cuandixia']
 184   1.000        ['爨底下', 'Q954362']=>['attraction', 'en:Cuandixia']
 185   1.000        ['attraction', 'en:Cuandixia']=>['爨底下', 'Q954362']
 186   1.000        ['爨底下', 'en:Cuandixia']=>['attraction', 'Q954362']
 187   1.000        ['Q954362', 'en:Cuandixia']=>['attraction', '爨底下']
 188   1.000        ['attraction', 'Q954362']=>['爨底下', 'en:Cuandixia']
 189   1.000        ['爨底下']=>['attraction', 'Q954362', 'en:Cuandixia']
 190   1.000        ['Q954362']=>['attraction', '爨底下', 'en:Cuandixia']
 191   1.000        ['en:Cuandixia']=>['attraction', '爨底下', 'Q954362']
 192   1.000        ['爨底下', 'Q954362', 'village']=>['cuàndǐxia cūn']
 193   1.000        ['爨底下', 'village', 'cuàndǐxia cūn']=>['Q954362']
 194   1.000        ['Q954362', 'village', 'cuàndǐxia cūn']=>['爨底下']
 195   1.000        ['爨底下', 'Q954362', 'cuàndǐxia cūn']=>['village']
 196   1.000        ['爨底下', 'Q954362']=>['village', 'cuàndǐxia cūn']
 197   1.000        ['village', 'cuàndǐxia cūn']=>['爨底下', 'Q954362']
 198   1.000        ['爨底下', 'cuàndǐxia cūn']=>['Q954362', 'village']
 199   1.000        ['Q954362', 'cuàndǐxia cūn']=>['爨底下', 'village']
 200   1.000        ['爨底下', 'village']=>['Q954362', 'cuàndǐxia cūn']
 201   1.000        ['Q954362', 'village']=>['爨底下', 'cuàndǐxia cūn']
 202   1.000        ['cuàndǐxia cūn']=>['爨底下', 'Q954362', 'village']
 203   1.000        ['Q954362']=>['爨底下', 'village', 'cuàndǐxia cūn']
 204   1.000        ['village']=>['爨底下', 'Q954362', 'cuàndǐxia cūn']
 205   1.000        ['爨底下']=>['Q954362', 'village', 'cuàndǐxia cūn']
 206   1.000        ['爨底下', 'Q954362', 'village']=>['attraction']
