data_length : 4228        min_support_num : 1057 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 192   0.976        ['lanes', 'yes', '1', 'oneway']=>['bridge']
 193   0.976        ['lanes', '1', 'oneway']=>['yes', 'bridge']
 194   0.976        ['lanes', 'yes', '1']=>['oneway', 'bridge']
 195   0.976        ['lanes', '1']=>['oneway', 'yes', 'bridge']
 196   0.976        ['lanes', 'oneway', '1', 'layer']=>['bridge']
 197   0.976        ['lanes', '1', 'oneway']=>['layer', 'bridge']
 198   0.976        ['lanes', '1', 'layer']=>['oneway', 'bridge']
 199   0.976        ['lanes', '1']=>['oneway', 'layer', 'bridge']
 200   0.976        ['lanes', '1', 'layer', 'yes', 'oneway']=>['bridge']
 201   0.976        ['lanes', 'oneway', '1', 'layer']=>['yes', 'bridge']
 202   0.976        ['lanes', 'yes', '1', 'oneway']=>['layer', 'bridge']
 203   0.976        ['lanes', 'yes', '1', 'layer']=>['oneway', 'bridge']
 204   0.976        ['lanes', 'yes', '1']=>['oneway', 'layer', 'bridge']
 205   0.976        ['lanes', '1', 'layer']=>['oneway', 'yes', 'bridge']
 206   0.976        ['lanes', '1', 'oneway']=>['yes', 'layer', 'bridge']
 207   0.976        ['lanes', '1']=>['oneway', 'layer', 'yes', 'bridge']
 208   0.974        ['1']=>['bridge']
 209   0.974        ['1', 'layer']=>['bridge']
 210   0.974        ['1']=>['layer', 'bridge']
 211   0.974        ['yes', '1']=>['bridge']
 212   0.974        ['1']=>['yes', 'bridge']
 213   0.974        ['yes', '1', 'layer']=>['bridge']
 214   0.974        ['1', 'layer']=>['yes', 'bridge']
 215   0.974        ['yes', '1']=>['layer', 'bridge']
 216   0.974        ['1']=>['yes', 'layer', 'bridge']
 217   0.974        ['1', 'oneway']=>['bridge']
 218   0.974        ['yes', '1', 'oneway']=>['bridge']
 219   0.974        ['1', 'oneway']=>['yes', 'bridge']
 220   0.974        ['oneway', '1', 'layer']=>['bridge']
 221   0.974        ['1', 'oneway']=>['layer', 'bridge']
 222   0.974        ['oneway', 'yes', '1', 'layer']=>['bridge']
 223   0.974        ['oneway', '1', 'layer']=>['yes', 'bridge']
 224   0.974        ['yes', '1', 'oneway']=>['layer', 'bridge']
 225   0.974        ['1', 'oneway']=>['yes', 'layer', 'bridge']
 226   0.972        ['bridge']=>['oneway', 'layer']
 227   0.972        ['yes', 'bridge']=>['oneway', 'layer']
 228   0.972        ['bridge']=>['oneway', 'yes', 'layer']
 229   0.971        ['bridge', 'layer']=>['1', 'oneway']
 230   0.971        ['bridge', 'yes', 'layer']=>['1', 'oneway']
 231   0.971        ['bridge', 'layer']=>['yes', '1', 'oneway']
 232   0.970        ['1']=>['oneway', 'bridge']
 233   0.970        ['yes', '1']=>['oneway', 'bridge']
 234   0.970        ['1']=>['oneway', 'yes', 'bridge']
 235   0.970        ['1', 'layer']=>['oneway', 'bridge']
 236   0.970        ['1']=>['oneway', 'layer', 'bridge']
 237   0.970        ['yes', '1', 'layer']=>['oneway', 'bridge']
 238   0.970        ['yes', '1']=>['oneway', 'layer', 'bridge']
 239   0.970        ['1', 'layer']=>['oneway', 'yes', 'bridge']
 240   0.970        ['1']=>['oneway', 'layer', 'yes', 'bridge']
 241   0.964        ['lanes', 'bridge']=>['1']
 242   0.964        ['lanes', 'yes', 'bridge']=>['1']
 243   0.964        ['lanes', 'bridge']=>['yes', '1']
 244   0.964        ['lanes', 'bridge', 'oneway']=>['1']
 245   0.964        ['lanes', 'bridge']=>['1', 'oneway']
 246   0.964        ['lanes', 'bridge']=>['1', 'layer']
 247   0.964        ['lanes', 'yes', 'bridge']=>['1', 'layer']
 248   0.964        ['lanes', 'bridge']=>['yes', '1', 'layer']
 249   0.964        ['oneway', 'lanes', 'yes', 'bridge']=>['1']
 250   0.964        ['lanes', 'yes', 'bridge']=>['1', 'oneway']
 251   0.964        ['lanes', 'oneway', 'bridge']=>['yes', '1']
 252   0.964        ['lanes', 'bridge']=>['yes', '1', 'oneway']
 253   0.964        ['lanes', 'oneway', 'bridge']=>['1', 'layer']
 254   0.964        ['lanes', 'bridge']=>['layer', '1', 'oneway']
 255   0.964        ['oneway', 'lanes', 'yes', 'bridge']=>['1', 'layer']
 256   0.964        ['lanes', 'yes', 'bridge']=>['layer', '1', 'oneway']
 257   0.964        ['lanes', 'oneway', 'bridge']=>['yes', '1', 'layer']
 258   0.964        ['lanes', 'bridge']=>['layer', 'yes', '1', 'oneway']
 259   0.954        ['bridge']=>['1']
 260   0.954        ['bridge']=>['1', 'layer']
 261   0.954        ['yes', 'bridge']=>['1']
 262   0.954        ['bridge']=>['yes', '1']
 263   0.954        ['yes', 'bridge']=>['1', 'layer']
 264   0.954        ['bridge']=>['yes', '1', 'layer']
 265   0.953        ['bridge', 'oneway']=>['1']
 266   0.953        ['bridge', 'yes', 'oneway']=>['1']
 267   0.953        ['bridge', 'oneway']=>['yes', '1']
 268   0.953        ['bridge', 'oneway']=>['1', 'layer']
 269   0.953        ['oneway', 'yes', 'bridge']=>['1', 'layer']
 270   0.953        ['oneway', 'bridge']=>['yes', '1', 'layer']
